feature_set,removed_feature_group,f1_difference_from_full,precision_difference_from_full,recall_difference_from_full,accuracy_difference_from_full,roc_auc_difference_from_full
Full feature set,none,0.0,0.0,0.0,0.0,0.0
Without funding scale,funding scale,-0.04036905106549027,0.007263343100426645,-0.08578745198463511,-0.03768624014022781,-0.03940638782188077
Without funding dynamics,funding dynamics,0.0063918469901727,-0.00180475701625471,0.015364916773367487,0.00613496932515345,-0.012702731540759626
Without stage structure,stage structure,-0.00525125144397387,0.005665299686029024,-0.016645326504481472,-0.0035056967572304476,-0.0056729264475744445
Without geography,geography,-0.004247677425534002,0.0026541035986660244,-0.011523687580025643,-0.0035056967572304476,-0.002224711907810595
Without industry,industry,0.008551901396109507,-0.0034044457882396184,0.02176696542893719,0.007887817703768674,-0.00862142552283418
