model,feature_set,removed_feature_group,validation_strategy,f1,precision,recall,accuracy,roc_auc,true_negative,false_positive,false_negative,true_positive,source,delta_f1
XGBoost,Full feature set,none,stratified_cv,0.8075471698113208,0.7935723114956736,0.8220230473751601,0.7318141980718668,0.7667858159055343,193,167,139,642,model_comparison_output,0.0
XGBoost,Without funding scale,funding scale,stratified_cv,0.7671781187458305,0.8008356545961003,0.736235595390525,0.694127957931639,0.7273794280836535,217,143,206,575,feature_group_ablation,-0.04036905106549027
XGBoost,Without funding dynamics,funding dynamics,stratified_cv,0.8139390168014935,0.7917675544794189,0.8373879641485276,0.7379491673970202,0.7540830843647747,188,172,127,654,feature_group_ablation,0.0063918469901727
XGBoost,Without stage structure,stage structure,stratified_cv,0.8022959183673469,0.7992376111817027,0.8053777208706786,0.7283085013146363,0.7611128894579599,202,158,152,629,feature_group_ablation,-0.00525125144397387
XGBoost,Without geography,geography,stratified_cv,0.8032994923857868,0.7962264150943397,0.8104993597951344,0.7283085013146363,0.7645611039977237,198,162,148,633,feature_group_ablation,-0.004247677425534002
XGBoost,Without industry,industry,stratified_cv,0.8160990712074303,0.790167865707434,0.8437900128040973,0.7397020157756354,0.7581643903827001,185,175,122,659,feature_group_ablation,0.008551901396109507
