model,parameter,compared_values,best_value
Logistic Regression,penalty,l2,l2
Logistic Regression,C,"0.01, 0.1, 1",0.1
XGBoost,n_estimators,"100, 300, 500",100
XGBoost,learning_rate,"0.01, 0.05, 0.1",0.01
XGBoost,max_depth,"3, 5, 7",7
XGBoost,min_child_weight,"1, 3, 5",1
XGBoost,subsample,"0.7, 1.0",0.7
XGBoost,colsample_bytree,"0.7, 1.0",0.7
CatBoost,iterations,"200, 500, 800",200
CatBoost,learning_rate,"0.01, 0.05, 0.1",0.05
CatBoost,depth,"4, 6, 8",8
CatBoost,l2_leaf_reg,"1, 3, 5, 7",7
