model,best_cv_f1_mean,best_cv_f1_std,best_cv_rank
Logistic Regression,0.7420626454100933,0.0066752607802619155,1
XGBoost,0.7673163325893247,0.007778280257284418,1
CatBoost,0.7609698349001939,0.008326870745035757,1
