model,f1,precision,recall,accuracy,roc_auc,true_negative,false_positive,false_negative,true_positive
XGBoost,0.8075471698113208,0.7935723114956736,0.8220230473751601,0.7318141980718668,0.7667858159055343,193,167,139,642
CatBoost,0.7736233854520734,0.8246376811594203,0.7285531370038413,0.708150744960561,0.7672659695547019,239,121,212,569
Logistic Regression,0.6722947045280123,0.8390804597701149,0.5608194622279129,0.6257668711656442,0.719193697538768,276,84,343,438
