feature_set,removed_feature_group,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__colsample_bytree,param_model__learning_rate,param_model__max_depth,param_model__min_child_weight,param_model__n_estimators,param_model__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
Without funding scale,funding scale,0.4668094635009766,0.01923141758811351,0.03616762161254883,0.009456563619582135,0.7,0.01,3,3,500,0.7,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__min_child_weight': 3, 'model__n_estimators': 500, 'model__subsample': 0.7}",0.7391304347826086,0.7355450236966825,0.7394636015325671,0.7269230769230769,0.7341532639545885,0.7350430801779047,0.004543691225806494,95,0.7524988100904332,0.7520680690144174,0.7501792971551519,0.744890598701611,0.7512497024517972,0.7501772954826822,0.0027591186343250674
Without funding scale,funding scale,0.46506471633911134,0.055330186858338494,0.024791765213012695,0.005701150777462137,0.7,0.01,3,3,500,1.0,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__min_child_weight': 3, 'model__n_estimators': 500, 'model__subsample': 1.0}",0.7367424242424242,0.7364485981308411,0.7431279620853081,0.7437092264678472,0.7303370786516854,0.7380730579156213,0.004930989410868318,33,0.7529021558872305,0.7556698620528408,0.7531301677297425,0.7528248587570622,0.7528857479387515,0.7534825584731255,0.0010985531464631603
Without funding scale,funding scale,0.12060675621032715,0.016361806028939576,0.016607379913330077,0.003217611553396969,0.7,0.01,3,5,100,0.7,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__min_child_weight': 5, 'model__n_estimators': 100, 'model__subsample': 0.7}",0.745945945945946,0.7407407407407407,0.7490909090909091,0.7377938517179023,0.7326007326007326,0.7412344360192462,0.005840285695009829,20,0.7476804706947273,0.7497725204731575,0.7469608284556506,0.7489265536723164,0.7444418977767591,0.7475564542145221,0.001836231691422153
Without funding scale,funding scale,0.11233835220336914,0.010819175285860872,0.021246719360351562,0.004510812399508033,0.7,0.01,3,5,100,1.0,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__min_child_weight': 5, 'model__n_estimators': 100, 'model__subsample': 1.0}",0.7404021937842779,0.7396768402154399,0.75,0.7384615384615385,0.7326007326007326,0.7402282610123978,0.005605741674189988,24,0.7442713107241063,0.7494917551389203,0.7472378804960541,0.7454092042620721,0.7458170983268393,0.7464454497895984,0.0017946271889174906
Without funding scale,funding scale,0.3232677936553955,0.03578549114365976,0.03274335861206055,0.005049506190259484,0.7,0.01,3,5,300,0.7,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__min_child_weight': 5, 'model__n_estimators': 300, 'model__subsample': 0.7}",0.7419354838709677,0.738404452690167,0.7381404174573055,0.7246653919694073,0.7357609710550888,0.7357813434085874,0.005897188634123028,73,0.7470393178588347,0.7513425169273873,0.750591575958353,0.7390993566833453,0.7464655984919887,0.7469076731839818,0.004345608026669541
Without funding scale,funding scale,0.3543827533721924,0.03622961584008128,0.02654862403869629,0.0046899282515934955,0.7,0.01,3,5,300,1.0,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__min_child_weight': 5, 'model__n_estimators': 300, 'model__subsample': 1.0}",0.7393364928909952,0.7345050878815911,0.7467166979362101,0.7305502846299811,0.7365491651205937,0.7375315456918742,0.005412714302857709,42,0.7491149398159075,0.7518587360594795,0.7515179822512844,0.7468742627978296,0.7511693171188026,0.7501070476086608,0.0018773780126680132
Without funding scale,funding scale,0.4826772212982178,0.04154660036293452,0.03972516059875488,0.010607197912777627,0.7,0.01,3,5,500,0.7,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__min_child_weight': 5, 'model__n_estimators': 500, 'model__subsample': 0.7}",0.7381404174573055,0.7372400756143668,0.735632183908046,0.7258687258687259,0.7396226415094339,0.7353008088715756,0.004890324507779559,86,0.7495238095238095,0.7523584905660378,0.7488038277511961,0.7429670593892763,0.7487473156764496,0.748480100581354,0.0030561761599404934
Without funding scale,funding scale,0.48381519317626953,0.0379185939056619,0.03454089164733887,0.009004241396736619,0.7,0.01,3,5,500,1.0,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__min_child_weight': 5, 'model__n_estimators': 500, 'model__subsample': 1.0}",0.7348484848484849,0.7325256290773532,0.7443181818181818,0.7397003745318352,0.731203007518797,0.7365191355589304,0.00485686707889923,55,0.7511848341232228,0.7544966129409016,0.7510049657129345,0.7507648858554954,0.752176982819487,0.7519256562904083,0.0013723599927384252
Without funding scale,funding scale,0.2636537551879883,0.025596856410259033,0.040200424194335935,0.015919999316365976,0.7,0.01,5,1,100,0.7,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.01, 'model__max_depth': 5, 'model__min_child_weight': 1, 'model__n_estimators': 100, 'model__subsample': 0.7}",0.7454545454545455,0.7466185752930569,0.7538601271571299,0.7477477477477478,0.7390510948905109,0.7465464181085981,0.0047394260336882455,6,0.7572947296991631,0.7628818969448244,0.7547511312217194,0.7584014532243415,0.7601090413448433,0.7586876504869784,0.002725082620398861
Without funding scale,funding scale,0.2530047416687012,0.014086454513329384,0.0364570140838623,0.012349316527579248,0.7,0.01,5,1,100,1.0,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.01, 'model__max_depth': 5, 'model__min_child_weight': 1, 'model__n_estimators': 100, 'model__subsample': 1.0}",0.7428571428571429,0.7452745274527453,0.7465690759377859,0.7488748874887489,0.7408071748878924,0.744876561724863,0.0028159386281622683,11,0.7553923818265259,0.7627504553734062,0.7548209366391184,0.7590579710144928,0.7627156621106879,0.7589474813928462,0.0034158779107746526
