mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__depth,param_model__iterations,param_model__l2_leaf_reg,param_model__learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
1.488358163833618,0.028199298769534652,0.06042289733886719,0.005170688573339127,4,200,1,0.01,"{'model__depth': 4, 'model__iterations': 200, 'model__l2_leaf_reg': 1, 'model__learning_rate': 0.01}",0.75,0.7269338303821062,0.7598499061913696,0.7623485554520038,0.7468123861566485,0.7491889356364256,0.012557288000013878,92,0.7575896964121435,0.7624796842349664,0.7541676449870862,0.7595866819747417,0.7569702602230484,0.7581587935663971,0.00277036862304569
1.6566624164581298,0.2427951355694648,0.07959294319152832,0.05751897962997476,4,200,1,0.05,"{'model__depth': 4, 'model__iterations': 200, 'model__l2_leaf_reg': 1, 'model__learning_rate': 0.05}",0.76269621421976,0.731203007518797,0.7530516431924883,0.7614593077642656,0.7544022242817423,0.7525624793954105,0.011328699111814194,67,0.7788840009261403,0.7816736792893876,0.7740566037735849,0.7815398886827458,0.7758742079324102,0.7784056761208539,0.0030349526909954263
2.21954665184021,0.12235526695112592,0.11970410346984864,0.0806956830655049,4,200,1,0.1,"{'model__depth': 4, 'model__iterations': 200, 'model__l2_leaf_reg': 1, 'model__learning_rate': 0.1}",0.7592592592592593,0.7347703842549204,0.7628865979381443,0.7595884003741815,0.7488328664799253,0.7530675016612861,0.010295545389843714,60,0.8044797013532431,0.801697712803584,0.8001889466225791,0.7985964912280702,0.7991483321504613,0.8008222368315876,0.0021118930733638615
1.7331264972686768,0.13701948531896327,0.07687063217163086,0.02957680498526003,4,200,3,0.01,"{'model__depth': 4, 'model__iterations': 200, 'model__l2_leaf_reg': 3, 'model__learning_rate': 0.01}",0.7530288909599254,0.7287977632805219,0.7601128880526811,0.7630597014925373,0.7493163172288059,0.7508631122028944,0.012068785680041265,81,0.7550738007380073,0.7609960437514545,0.7522935779816514,0.7592847317744154,0.7578015836050302,0.7570899475701117,0.003087105447025322
1.4513713836669921,0.08531749235509618,0.04165430068969726,0.017449101259226767,4,200,3,0.05,"{'model__depth': 4, 'model__iterations': 200, 'model__l2_leaf_reg': 3, 'model__learning_rate': 0.05}",0.7665116279069767,0.7366447985004686,0.7572633552014996,0.7630597014925373,0.7544022242817423,0.755576341476645,0.010375057131359618,32,0.7776230269266481,0.7782974742750234,0.7731644381890688,0.7773900907187719,0.7735893233434793,0.7760128706905982,0.002176965829220002
1.556058931350708,0.10127508401294855,0.05292701721191406,0.019025588943242487,4,200,3,0.1,"{'model__depth': 4, 'model__iterations': 200, 'model__l2_leaf_reg': 3, 'model__learning_rate': 0.1}",0.7679558011049724,0.7485928705440901,0.7614593077642656,0.7497674418604651,0.756007393715342,0.756756562997827,0.007260766982689138,13,0.79182156133829,0.7969818439047395,0.7938823529411765,0.7959041191528974,0.792515395547134,0.7942210545768474,0.0019614394411089477
1.9067190647125245,0.29421379101885875,0.11113452911376953,0.06625626802429663,4,200,5,0.01,"{'model__depth': 4, 'model__iterations': 200, 'model__l2_leaf_reg': 5, 'model__learning_rate': 0.01}",0.7497674418604651,0.7252336448598131,0.7565543071161048,0.7623485554520038,0.75,0.7487807898576774,0.012660488354608182,94,0.7576384102917528,0.7606420097697139,0.7539906103286385,0.7591274397244546,0.7549453106818711,0.7572687561592862,0.002494587247095357
2.144774055480957,0.11919303172930011,0.07170567512512208,0.02547959357808113,4,200,5,0.05,"{'model__depth': 4, 'model__iterations': 200, 'model__l2_leaf_reg': 5, 'model__learning_rate': 0.05}",0.7650882079851439,0.7392120075046904,0.7551789077212806,0.7647610121836926,0.7567067530064755,0.7561893776802566,0.009404062140373733,21,0.7754817738565126,0.7781410555815039,0.7719463403153684,0.7731599721383794,0.7742690058479532,0.7745996295479435,0.0021232873650039816
1.869306993484497,0.12348173341969733,0.08457202911376953,0.015436167893591108,4,200,5,0.1,"{'model__depth': 4, 'model__iterations': 200, 'model__l2_leaf_reg': 5, 'model__learning_rate': 0.1}",0.7634011090573013,0.7420560747663552,0.7549295774647887,0.7600373482726424,0.7465181058495822,0.753388443082134,0.008030698857278832,56,0.7955442097934555,0.7953106682297773,0.7891637220259128,0.7951469902006533,0.7910271546635183,0.7932385489826634,0.002636147848411157
1.7309364318847655,0.23433919944595408,0.07116622924804687,0.02716701567347507,4,200,7,0.01,"{'model__depth': 4, 'model__iterations': 200, 'model__l2_leaf_reg': 7, 'model__learning_rate': 0.01}",0.7544022242817423,0.7264239028944911,0.7560975609756098,0.7627906976744186,0.7493163172288059,0.7498061406110135,0.01246012556134922,87,0.7583199449162268,0.7607733519683205,0.7535211267605634,0.7578753736491147,0.7558139534883721,0.7572607501565195,0.0024460593127499574
