mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__colsample_bytree,param_model__learning_rate,param_model__max_depth,param_model__min_child_weight,param_model__n_estimators,param_model__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.15815114974975586,0.01510512372229977,0.009454822540283203,0.0026682051879692837,0.7,0.01,3,1,100,0.7,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__min_child_weight': 1, 'model__n_estimators': 100, 'model__subsample': 0.7}",0.7542147293700089,0.7477477477477478,0.7718978102189781,0.7635379061371841,0.7581930912311781,0.7591182569410194,0.008210228675815853,24,0.7730684326710817,0.7695800227014756,0.764612954186414,0.7668903803131991,0.7687809266756636,0.7685865433095668,0.0028205849703176423
0.1104252815246582,0.01725131658028673,0.008449935913085937,0.0010053119888690117,0.7,0.01,3,1,100,1.0,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__min_child_weight': 1, 'model__n_estimators': 100, 'model__subsample': 1.0}",0.7522281639928698,0.7459749552772809,0.7752502274795269,0.7624209575429087,0.7575757575757576,0.7586900123736688,0.009928045139136631,28,0.7707360462530576,0.7706919945725916,0.7643226241294091,0.7650615901455767,0.768673607967406,0.7678971726136081,0.0027309708889221517
0.2434370517730713,0.006874951797828897,0.013792753219604492,0.0012875361508541284,0.7,0.01,3,1,300,0.7,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__min_child_weight': 1, 'model__n_estimators': 300, 'model__subsample': 0.7}",0.7564102564102564,0.7430683918669131,0.7588785046728972,0.7642124883504194,0.7536496350364964,0.7552438552673966,0.007011290815049496,83,0.7688797627195985,0.7760985817251802,0.7647887323943662,0.7678118515102605,0.7654494382022472,0.7686056733103305,0.004034347842745462
0.23813862800598146,0.01604816631400726,0.01533679962158203,0.005252771059416927,0.7,0.01,3,1,300,1.0,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__min_child_weight': 1, 'model__n_estimators': 300, 'model__subsample': 1.0}",0.7573529411764706,0.7437557816836263,0.7586854460093897,0.7632311977715878,0.7531760435571688,0.7552402820396487,0.006577872704480963,84,0.7709750566893424,0.7756142790913305,0.7670720299345183,0.7717366368433127,0.7713690062543433,0.7713534017625695,0.002712027948325431
0.4128243446350098,0.03226290438851768,0.022066593170166016,0.005659141856198799,0.7,0.01,3,1,500,0.7,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__min_child_weight': 1, 'model__n_estimators': 500, 'model__subsample': 0.7}",0.7618164967562558,0.7402597402597403,0.7575187969924813,0.7597765363128491,0.7603305785123967,0.7559404297667447,0.007961062105292177,69,0.775968814492089,0.7774411559077138,0.7689411764705882,0.773999537358316,0.7736335913675815,0.7739968551192576,0.002879016708383503
0.4419246673583984,0.022821997902872006,0.0241973876953125,0.006379334283098674,0.7,0.01,3,1,500,1.0,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__min_child_weight': 1, 'model__n_estimators': 500, 'model__subsample': 1.0}",0.7601476014760148,0.7388888888888889,0.761994355597366,0.7620817843866171,0.7582417582417582,0.756270877718129,0.008804223170015602,61,0.7734983952315452,0.7806241266884024,0.7700610042233693,0.7774439565518835,0.773876404494382,0.7751007774379165,0.0036183948705799497
0.1250598430633545,0.014573559451968802,0.013666820526123048,0.005590836535383669,0.7,0.01,3,3,100,0.7,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__min_child_weight': 3, 'model__n_estimators': 100, 'model__subsample': 0.7}",0.7542147293700089,0.7472924187725631,0.7711941659070192,0.7619909502262443,0.7581930912311781,0.7585770711014027,0.007967013193385903,29,0.772355928461029,0.7693006357856494,0.7641615888061386,0.7662337662337663,0.7681224673570464,0.768034877328726,0.002775884166455993
0.0977250576019287,0.010349442173350463,0.013849401473999023,0.004897333513680468,0.7,0.01,3,3,100,1.0,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__min_child_weight': 3, 'model__n_estimators': 100, 'model__subsample': 1.0}",0.7511150758251561,0.7461883408071749,0.7748404740200547,0.7631103074141049,0.7593582887700535,0.7589224973673088,0.009942074454428396,25,0.7714539795464651,0.7705549263873159,0.7629979743416611,0.7651277454056477,0.7680470694727314,0.7676363390307641,0.003195894232480091
0.37996597290039064,0.038077857635536214,0.02029576301574707,0.0038086043175115532,0.7,0.01,3,3,300,0.7,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__min_child_weight': 3, 'model__n_estimators': 300, 'model__subsample': 0.7}",0.7580496780128795,0.7444444444444445,0.7598499061913696,0.7630597014925373,0.7547857793983591,0.756037901907918,0.0063853011815641365,67,0.7692307692307693,0.7741034000931533,0.7612115520075134,0.7673507032510952,0.7639766081871345,0.7671746065539331,0.004428367825443748
0.4122276782989502,0.09856929367957178,0.03613357543945313,0.005976442697587253,0.7,0.01,3,3,300,1.0,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__min_child_weight': 3, 'model__n_estimators': 300, 'model__subsample': 1.0}",0.7548209366391184,0.7465437788018433,0.7556390977443609,0.762962962962963,0.7513611615245009,0.7542655875345574,0.005401875652391787,121,0.7705922396187883,0.7755102040816326,0.766534236971255,0.7690186164100207,0.769872537659328,0.770305566948205,0.00294065008998055
0.7396642684936523,0.05130254218464099,0.04976587295532227,0.012563977470402225,0.7,0.01,3,3,500,0.7,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__min_child_weight': 3, 'model__n_estimators': 500, 'model__subsample': 0.7}",0.7597042513863216,0.7404651162790697,0.7563499529633114,0.7609302325581395,0.7596330275229358,0.7554165161419556,0.007628635167959941,77,0.777014652014652,0.7776223776223776,0.76633756464504,0.7722955756312254,0.7737704918032787,0.7734081323433148,0.004052872112553598
0.6385898113250732,0.0776992045914802,0.035275936126708984,0.011973198422520865,0.7,0.01,3,3,500,1.0,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__min_child_weight': 3, 'model__n_estimators': 500, 'model__subsample': 1.0}",0.7611111111111111,0.7400555041628122,0.7612781954887218,0.7595171773444754,0.7586837294332724,0.7561291435080786,0.008095669235146596,65,0.7737059092991296,0.77995337995338,0.7691586594797282,0.7732962447844228,0.7726847521047708,0.7737597891242862,0.003490112959437621
0.18396682739257814,0.013131328556741597,0.019652605056762695,0.00432228607931029,0.7,0.01,3,5,100,0.7,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__min_child_weight': 5, 'model__n_estimators': 100, 'model__subsample': 0.7}",0.753315649867374,0.7441441441441441,0.7718978102189781,0.7650765076507651,0.7581930912311781,0.7585254406224878,0.009547887850850716,30,0.7724564113882145,0.7679420421100295,0.7631282398016678,0.7658242004025945,0.7683997299122215,0.7675501247229455,0.003081524235645165
0.1725785732269287,0.034680094586741705,0.029433059692382812,0.022593600324950988,0.7,0.01,3,5,100,1.0,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__min_child_weight': 5, 'model__n_estimators': 100, 'model__subsample': 1.0}",0.7569011576135352,0.7464285714285714,0.7737226277372263,0.7617328519855595,0.7571428571428571,0.7591856131815499,0.008831159849982173,23,0.7713779353123615,0.7710079275198188,0.7627844109033566,0.7648902821316614,0.7665457842248413,0.7673212680184079,0.003380596035944353
0.507642412185669,0.036115403916993444,0.027543306350708008,0.005622131120463888,0.7,0.01,3,5,300,0.7,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__min_child_weight': 5, 'model__n_estimators': 300, 'model__subsample': 0.7}",0.7550644567219152,0.7441860465116279,0.761012183692596,0.7627906976744186,0.7536496350364964,0.7553406039274109,0.006557903599218348,80,0.7696167883211679,0.7713151132912871,0.7603383458646616,0.7664284067327646,0.7640869768529343,0.7663571262125631,0.003913857658089676
0.4242579460144043,0.03820850764928274,0.0203646183013916,0.0040022537660308,0.7,0.01,3,5,300,1.0,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__min_child_weight': 5, 'model__n_estimators': 300, 'model__subsample': 1.0}",0.7573529411764706,0.7460757156048015,0.7540056550424128,0.7620817843866171,0.7531760435571688,0.7545384279534942,0.005264620584131305,104,0.7710079275198188,0.7742234585071859,0.7651888341543513,0.7676023930050622,0.7695511337343822,0.7695147493841602,0.0030585452707842806
0.5780989646911621,0.038322712199002525,0.03495936393737793,0.00703316143467114,0.7,0.01,3,5,500,0.7,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__min_child_weight': 5, 'model__n_estimators': 500, 'model__subsample': 0.7}",0.759447004608295,0.7411545623836127,0.7570621468926554,0.7611940298507462,0.7612076852698993,0.7560130858010418,0.007582797512568269,68,0.7761262291333181,0.7753673897830651,0.7674636661978435,0.7718973884908713,0.771716225708265,0.7725141798626727,0.0030890955793205018
0.6821485996246338,0.1280327934566838,0.05000286102294922,0.010049087906263469,0.7,0.01,3,5,500,1.0,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__min_child_weight': 5, 'model__n_estimators': 500, 'model__subsample': 1.0}",0.7617295308187673,0.7395736793327155,0.7624413145539906,0.7609302325581395,0.7598173515981735,0.7568984217723573,0.008706154434046104,44,0.7763037511436414,0.7766402978129362,0.768048439683279,0.7699791521890201,0.7723558253560588,0.7726654932369871,0.003396041753353394
0.39000592231750486,0.05738211873147362,0.03948044776916504,0.020369512892827353,0.7,0.01,5,1,100,0.7,"{'model__colsample_bytree': 0.7, 'model__learning_rate': 0.01, 'model__max_depth': 5, 'model__min_child_weight': 1, 'model__n_estimators': 100, 'model__subsample': 0.7}",0.7599645704162976,0.7450628366247756,0.7780772686433064,0.7647058823529411,0.7642857142857142,0.7624192544646069,0.010593927141449574,10,0.7826855123674912,0.7872915727805317,0.7830923248053393,0.7842351369405478,0.7844459429085188,0.7843500979604857,0.001614157050187211
