category,country_count,country_percentage,category,market_count,market_percentage
USA,4248,67.48, Software ,718,11.41
missing,628,9.98, Curated Web ,459,7.29
GBR,297,4.72, Mobile ,342,5.43
CAN,169,2.68, Biotechnology ,322,5.12
DEU,118,1.87, Enterprise Software ,249,3.96
ISR,107,1.7,missing,231,3.67
FRA,94,1.49, Games ,227,3.61
CHN,61,0.97, Advertising ,214,3.4
ESP,58,0.92, E-Commerce ,188,2.99
IND,50,0.79, Social Media ,162,2.57
